Country Name,year,Access to electricity (% of population) (lag 5),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+) (lag 5),"Commercial bank branches (per 100,000 adults) (lag 7)",Domestic credit to private sector (% of GDP) (lag 7),Individuals using the Internet (% of population) (lag 4),Mobile cellular subscriptions (per 100 people) (lag 4),Urban population (% of total population) (lag 5)
Argentina,1979,,,,,,0.0,
Argentina,1980,,,,,,0.0,80.969
Argentina,1981,,,,,,0.0,81.366
Argentina,1982,,,,16.4413498377265,,0.0,81.755
Argentina,1983,,,,13.5627672947772,,0.0,82.139
Argentina,1984,,,,18.3829098551528,,0.0,82.516
Argentina,1985,,,,20.5571174145111,,0.0,82.887
Argentina,1986,,,,24.0562276278008,,0.0,83.313
Argentina,1987,,,,25.3957927510595,,0.0,83.759
Argentina,1988,,,,33.5523067782622,,0.0,84.194
Argentina,1989,,,,33.9063722686192,,0.0,84.621
Argentina,1990,,,,28.1182756416111,,0.0,85.038
Argentina,1991,,,,25.0009988367976,,0.0,85.445
Argentina,1992,,,,17.3641413760603,,0.0,85.843
Argentina,1993,,,,16.9072294948969,,0.007150459,86.233
Argentina,1994,,,,21.2973148810876,0.0,0.036767345,86.613
Argentina,1995,92.1548004150391,,,20.3358354792818,,0.075515553,86.984
Argentina,1996,92.4921875,,,39.7174950191489,0.00299,0.13879172,87.328
Argentina,1997,92.8294525146484,,,15.6016948142115,0.0295,0.329148059,87.542
Argentina,1998,93.1660461425781,,,12.5872034907184,0.0437,0.6992523,87.752
Argentina,1999,93.5012741088867,,,15.4453354474077,0.0863,1.160057586,87.96
Argentina,2000,93.8344650268555,,,18.2846049267413,0.142,1.884803688,88.164
Argentina,2001,94.1649398803711,,,20.280577998757,0.28,5.609433289,88.366
Argentina,2002,94.4920120239258,,,19.9606075608912,0.831,7.371312411,88.564
Argentina,2003,94.8150024414063,,,20.1870018252819,3.28,10.50082052,88.759
Argentina,2004,95.1331558227539,,,21.9334587634322,7.04,17.5015229,88.952
Argentina,2005,95.7,,,24.1532987732827,9.78,17.98746665,89.142
Argentina,2006,95.5,,,24.8933437498898,10.9,17.33333812,89.329
Argentina,2007,96.1,,,23.8947336198062,11.9,20.48748472,89.51
Argentina,2008,96.3,,,20.833574652466,16.0,34.94389378,89.686
Argentina,2009,96.5,,,15.3318584042485,17.7,56.70883514,89.86
Argentina,2010,96.7,,,10.7627059172487,20.9,79.81991978,90.031
Argentina,2011,97.0,,13.3156521189553,9.68251819633223,25.9,101.3182303,90.2
Argentina,2012,97.2,,13.1251956816283,10.6534929189359,28.1,115.4815533,90.366
Argentina,2013,97.5,,13.1189336598859,11.9102616607561,34.0,128.9999606,90.53
Argentina,2014,97.8,,13.0662423365824,13.0985413493544,45.0,138.8859542,90.691
Argentina,2015,98.8,,12.9998042125218,12.313946714342,51.0,146.2467408,90.849
Argentina,2016,99.0,33.13,12.8596088277483,12.4162075416805,55.8,153.3349717,90.99
Argentina,2017,99.1,,12.9737829355223,12.6901062454749,59.9,158.9154655,91.121
Argentina,2018,99.3,,13.0730805676115,14.0087151168124,64.7,142.9902363,91.249
Argentina,2019,100.0,50.2,13.1486122621977,15.2128150156924,68.0,142.9639551,91.377
Argentina,2020,99.7,,13.1655786515273,15.7290920133564,71.0,145.9179567,91.503
Argentina,2021,99.9,,13.1425168032007,13.8237692455151,74.3,140.5014607,91.627
Argentina,2022,100.0,48.71,13.1738747248602,14.4142330417064,77.7,131.9371685,91.749
Argentina,2023,100.0,,13.3617382048899,13.6676334273514,79.9,125.9409814,91.87
Aruba,1975,,,,,,,
Aruba,1976,,,,,,,
Aruba,1977,,,,,,,
Aruba,1978,,,,,,,
Aruba,1979,,,,,,0.0,
Aruba,1980,,,,,,0.0,50.548
Aruba,1981,,,,,,0.0,50.532
Aruba,1982,,,,,,0.0,50.517
Aruba,1983,,,,,,0.0,50.502
Aruba,1984,,,,,,0.0,50.487
Aruba,1985,,,,,,0.0,50.472
Aruba,1986,,,,,,0.0,50.456
Aruba,1987,,,,,,0.0,50.441
Aruba,1988,,,,,,0.0,50.426
Aruba,1989,,,,,,0.0,50.411
Aruba,1990,,,,,,0.0,50.395
Aruba,1991,,,,,,0.0,50.38
Aruba,1992,,,,,,0.0,50.365
Aruba,1993,,,,39.4643250688705,,0.0,50.35
Aruba,1994,,,,39.4419243986254,0.0,0.0,50.335
Aruba,1995,100.0,,,43.7756554307116,,0.0,50.319
Aruba,1996,99.1536560058594,,,43.3563855421687,,0.028493276,50.304
Aruba,1997,99.1971282958984,,,44.4888239590942,,,49.998
Aruba,1998,99.2399139404297,,,44.2259449071108,,,49.588
Aruba,1999,100.0,,,43.2829254079254,,2.22972096,49.177
Aruba,2000,100.0,,,40.9021660649819,2.77,3.777528741,48.767
Aruba,2001,100.0,,,42.4448878923767,,4.155977424,48.356
Aruba,2002,100.0,,,43.0618443316413,,6.377808073,47.946
Aruba,2003,100.0,,,45.4161133603239,4.51,13.81422174,47.536
Aruba,2004,100.0,,,43.2337709700948,15.4,16.83482789,47.127
Aruba,2005,91.7,,,41.870110701107,17.1,58.44084243,46.717
Aruba,2006,100.0,,,44.6205252918288,18.8,67.33419771,46.339
Aruba,2007,100.0,,,44.7997006095161,20.8,75.45981165,45.972
Aruba,2008,100.0,,,46.5928526526089,23.0,105.1838786,45.606
Aruba,2009,100.0,,,50.7912122333912,25.4,109.4556693,45.24
Aruba,2010,100.0,,,55.0125172180073,28.0,114.0409598,44.875
Aruba,2011,100.0,,,51.7852298243845,30.9,117.3566698,44.511
Aruba,2012,100.0,,,54.0607007192211,52.0,123.2764603,44.147
Aruba,2013,100.0,,,53.8841202639004,58.0,129.0166512,43.783
Aruba,2014,100.0,,,51.7272559982541,62.0,131.3507803,43.421
Aruba,2015,93.4,,,50.6584576108456,69.0,,43.059
Aruba,2016,100.0,,,55.8930411328093,74.0,132.2077719,42.94
Aruba,2017,100.0,,,58.8006572951036,78.9,134.9144635,42.957
Aruba,2018,100.0,,21.0390831910101,56.2504341594081,83.8,134.8533699,42.99
Aruba,2019,100.0,,21.9624685814686,58.6859032351161,88.7,135.2427175,43.041
Aruba,2020,100.0,,19.2831489382216,59.1636730262709,93.5,,43.108
Aruba,2021,100.0,,19.0785080606697,60.2405386637617,97.2,,43.192
Aruba,2022,100.0,,18.8997956459596,56.626871086152,,,43.293
Aruba,2023,100.0,,19.9070224949354,57.2219745438198,,132.4665076,43.411
"Bahamas, The",1975,,,,,,,
"Bahamas, The",1976,,,,,,,
"Bahamas, The",1977,,,,,,,
"Bahamas, The",1978,,,,,,,
"Bahamas, The",1979,,,,,,0.0,
"Bahamas, The",1980,,,,,,0.0,70.017
"Bahamas, The",1981,,,,,,0.0,70.647
"Bahamas, The",1982,,,,60.2482388460248,,0.0,71.266
"Bahamas, The",1983,,,,51.3938638841302,,0.0,71.879
"Bahamas, The",1984,,,,49.5371669004208,,0.0,72.484
"Bahamas, The",1985,,,,46.1917347429121,,0.0,73.102
"Bahamas, The",1986,,,,38.7436358357926,,0.0,73.843
"Bahamas, The",1987,,,,38.6430015726803,,0.0,74.571
"Bahamas, The",1988,,,,39.9018576936558,,0.0,75.285
"Bahamas, The",1989,,,,39.6439206741431,,0.0,75.987
"Bahamas, The",1990,,,,39.0581717451524,,0.0,76.674
"Bahamas, The",1991,,,,36.098182352653,,0.0,77.347
"Bahamas, The",1992,,,,36.2089040465766,,0.0,78.007
"Bahamas, The",1993,,,,39.6643073811931,,0.0,78.654
"Bahamas, The",1994,,,,42.7450273671712,0.0,0.710066167,79.284
"Bahamas, The",1995,100.0,,,44.0292416338408,,0.731730289,79.838
"Bahamas, The",1996,100.0,,,43.4911822338341,,0.922074099,80.067
"Bahamas, The",1997,100.0,,,46.310802274163,,0.833206091,80.293
"Bahamas, The",1998,100.0,,,48.7053060594762,,,80.518
"Bahamas, The",1999,100.0,,,50.8137664844001,0.96,1.36870147,80.74
"Bahamas, The",2000,100.0,,,53.9489003880983,1.75,1.622656855,80.961
"Bahamas, The",2001,100.0,,,57.0266953053084,1.36,1.998903827,81.18
"Bahamas, The",2002,100.0,,,60.0787401574803,2.34,2.55930602,81.396
"Bahamas, The",2003,100.0,,,62.3496813521751,3.76,4.96796473,81.611
"Bahamas, The",2004,100.0,,,40.2845858416135,8.0,9.699274493,81.824
"Bahamas, The",2005,100.0,,,41.5148348801883,11.8,18.37082026,82.007
"Bahamas, The",2006,100.0,,,41.108191575339,18.0,36.45457213,82.049
"Bahamas, The",2007,100.0,,,44.8067039189151,20.0,36.10978168,82.092
"Bahamas, The",2008,100.0,,,46.9136782069362,22.0,54.2152205,82.134
"Bahamas, The",2009,100.0,,,45.8239689409942,25.0,65.48832101,82.176
"Bahamas, The",2010,100.0,,,46.160749214495,26.0,71.73598666,82.218
"Bahamas, The",2011,100.0,,,47.9211598965908,27.0,104.5665509,82.26
"Bahamas, The",2012,100.0,,,50.3639616925235,31.5,98.69209884,82.302
"Bahamas, The",2013,100.0,,,56.6101944970371,33.9,97.4881608,82.343
"Bahamas, The",2014,100.0,,39.6443554905508,58.5628262044726,43.0,114.7626932,82.385
"Bahamas, The",2015,100.0,,38.9149161251322,62.1014630438913,65.0,79.05543061,82.427
"Bahamas, The",2016,100.0,,37.1215917738553,66.0792068892282,71.7,78.52149264,82.476
"Bahamas, The",2017,100.0,,36.7628324124426,65.148141397973,72.0,74.41981071,82.532
"Bahamas, The",2018,100.0,,35.9990447778217,66.0139318501159,76.9,80.9089998,82.596
"Bahamas, The",2019,100.0,,35.6713202585122,61.8419088839969,78.0,79.24028134,82.668
"Bahamas, The",2020,100.0,,34.6938354893892,62.6666538409742,80.0,90.965109,82.746
"Bahamas, The",2021,100.0,,34.0947834981248,58.9405964953846,80.6,88.60207508,82.832
"Bahamas, The",2022,100.0,,30.2025562647072,54.851395231282,83.0,96.71589874,82.925
"Bahamas, The",2023,100.0,,30.0355202674467,52.5427625137291,90.7,105.1785039,83.025
Barbados,1975,,,,,,,
Barbados,1976,,,,,,,
Barbados,1977,,,,,,,
Barbados,1978,,,,,,,
Barbados,1979,,,,,,0.0,
Barbados,1980,,,,,,0.0,38.855
Barbados,1981,,,,,,0.0,39.118
Barbados,1982,,,,35.0856246792075,,0.0,39.381
Barbados,1983,,,,36.9923031921775,,0.0,39.646
Barbados,1984,,,,35.4935071993494,,0.0,39.91
Barbados,1985,,,,35.7459206935158,,0.0,40.102
Barbados,1986,,,,36.7299562411926,,0.0,39.828
Barbados,1987,,,,29.1277013752456,,0.0,39.554
Barbados,1988,,,,32.2672913877733,,0.0,39.28
Barbados,1989,,,,33.0025630072619,,0.0,39.007
Barbados,1990,,,,34.6315366049879,,0.0,38.736
Barbados,1991,,,,32.6157253599114,,0.0,38.464
Barbados,1992,,,,32.4045855379189,,0.0,38.194
Barbados,1993,,,,31.8380982974623,,0.0,37.923
Barbados,1994,,,,32.9728704784131,0.0,0.0,37.654
Barbados,1995,99.9842529296875,,,34.240263302249,,0.187353991,37.37
Barbados,1996,99.9934387207031,,,35.7600991325898,,0.305904416,37.006
Barbados,1997,99.9986877441406,,,36.2031134173462,,0.59771031,36.643
Barbados,1998,100.0,,,37.621062992126,,1.133688941,36.283
Barbados,1999,100.0,,,38.5293817066939,0.00775,1.759027693,35.924
Barbados,2000,100.0,,,36.9236144578313,0.389,2.390846062,35.566
Barbados,2001,100.0,,,38.9565518835221,0.783,3.044175303,35.21
Barbados,2002,100.0,,,42.5032518501906,1.97,4.551626827,34.856
Barbados,2003,100.0,,,41.6304164913757,2.38,7.687852519,34.503
Barbados,2004,100.0,,,44.196815920398,3.97,10.75618631,34.152
Barbados,2005,100.0,,,45.3831627250265,11.9,20.01341488,33.827
Barbados,2006,100.0,,,47.5657739599124,27.8,36.47632809,33.629
Barbados,2007,100.0,,,47.9021081876123,39.7,52.33664425,33.431
Barbados,2008,100.0,,,59.2481420854477,49.8,74.53790432,33.234
Barbados,2009,99.9,,,60.45039433446,52.5,76.51487882,33.037
Barbados,2010,99.9,,,62.4024770213429,55.3,87.68350676,32.841
Barbados,2011,100.0,,,67.2683263173175,58.2,94.89839525,32.646
Barbados,2012,100.0,,,72.7644717895012,61.4,105.8785556,32.451
Barbados,2013,100.0,,19.5480673012031,73.6824583951755,64.7,123.1084181,32.256
Barbados,2014,100.0,,19.8811753011073,71.2823043246832,65.1,127.4288252,32.063
Barbados,2015,100.0,,19.7692060135166,75.5321427392734,66.5,126.2920802,31.87
Barbados,2016,100.0,,19.2202086765514,82.7716199646163,71.2,126.4657963,31.7
Barbados,2017,100.0,,19.1320429833232,,71.8,111.1400863,31.553
Barbados,2018,100.0,,20.3951214869403,,71.9,110.077011,31.429
Barbados,2019,100.0,,21.1878733235659,74.8357879590895,72.0,120.3928324,31.328
Barbados,2020,100.0,,19.72413112961,72.70023733771,72.2,119.2209554,31.249
Barbados,2021,100.0,,21.3906603029452,71.7657394937941,72.3,118.0445365,31.193
Barbados,2022,100.0,,16.3866178906437,73.9930935247546,72.4,117.7476331,31.159
Barbados,2023,100.0,,16.7247632125629,74.5046409307949,74.2,117.5408666,31.147
Belize,1975,,,,,,,
Belize,1976,,,,,,,
Belize,1977,,,,,,,
Belize,1978,,,,,,,
Belize,1979,,,,,,0.0,
Belize,1980,,,,,,0.0,50.171
Belize,1981,,,,,,0.0,50.012
Belize,1982,,,,,,0.0,49.854
Belize,1983,,,,26.6839426191578,,0.0,49.695
Belize,1984,,,,22.3880152996175,,0.0,49.537
Belize,1985,,,,20.2942039618489,,0.0,49.374
Belize,1986,,,,23.2971014492754,,0.0,49.183
Belize,1987,,,,15.0184537684538,,0.0,48.992
Belize,1988,,,,17.4097794822627,,0.0,48.801
Belize,1989,,,,21.6576141621404,,0.0,48.61
Belize,1990,,,,22.346175853519,,0.0,48.419
Belize,1991,,,,20.0003444119167,,0.0,48.228
Belize,1992,,,,20.9660633484163,,0.0,48.037
Belize,1993,,,,19.224077046549,,0.0,47.846
Belize,1994,,,,19.7524925895985,0.0,0.0,47.655
Belize,1995,,,,23.4842804603156,,0.0,47.465
Belize,1996,67.0,,,23.5262675626145,,0.0,47.271
Belize,1997,72.2249145507813,,,24.522799963447,,0.205997621,47.059
Belize,1998,73.1233291625977,,,27.7258415675766,,0.419321022,46.848
Belize,1999,74.0203857421875,,,26.7151885098743,0.0454,0.759987424,46.637
Belize,2000,74.915397644043,,,25.6354519492595,0.883,1.040792985,46.425
Belize,2001,75.8076934814453,,,26.2377961931892,1.29,1.171718474,46.214
Belize,2002,76.6965866088867,,,26.6429399914535,2.09,1.571760772,46.003
Belize,2003,77.5814056396484,,,28.0913792090263,4.08,2.832000619,45.793
Belize,2004,78.4613800048828,,,30.9152736432333,5.96,6.993169888,45.582
Belize,2005,79.0,,,32.8521785906401,,15.78194277,45.398
Belize,2006,80.2,,,32.0489377655586,5.68,20.2076668,45.381
Belize,2007,81.0,,,29.8405917991044,,22.88009758,45.364
Belize,2008,81.8,,,32.8713335607094,9.8,27.56055974,45.347
Belize,2009,82.6,,,35.5169726429117,17.0,34.23985733,45.33
Belize,2010,83.5,,,38.6106272442509,24.0,40.86877314,45.313
Belize,2011,91.0,,25.6468370889051,40.151300995824,24.6,39.81303883,45.296
Belize,2012,85.2,,25.3160187108393,40.088782670599,26.3,52.35432867,45.279
Belize,2013,86.1,,23.3104114287617,42.2061607230619,27.2,51.49536875,45.262
Belize,2014,86.9,,26.2339317168234,45.5257526413215,28.2,60.29102221,45.245
Belize,2015,89.9,,26.86005909213,49.3939431048364,30.7,67.49054737,45.228
Belize,2016,91.7,,25.9168070493715,52.8601181557596,31.0,51.15513901,45.228
Belize,2017,90.9,,25.0098596562106,49.9284675156098,33.6,50.65885671,45.246
Belize,2018,91.1,,24.1517846775504,47.7397929268493,38.7,48.90232307,45.282
Belize,2019,91.5,48.21,23.3461288077761,46.666992012936,41.6,58.89499293,45.335
Belize,2020,91.8,,23.882411689355,44.9242199431804,44.6,60.69172801,45.406
Belize,2021,93.3,,23.115556769706,44.6943081484859,48.9,63.90324879,45.495
Belize,2022,94.2,,20.7716462955194,45.8921588096487,53.6,64.46818089,45.601
Belize,2023,91.7,,20.1547569178239,44.7234063079189,58.8,65.51587659,45.724
Bolivia,1975,,,,,,,
Bolivia,1976,,,,,,,
Bolivia,1977,,,,,,,
Bolivia,1978,,,,,,,
Bolivia,1979,,,,,,0.0,
Bolivia,1980,,,,,,0.0,41.314
Bolivia,1981,,,,,,0.0,41.624
Bolivia,1982,,,,11.6752566607091,,0.0,42.446
Bolivia,1983,,,,13.6658313059067,,0.0,43.442
Bolivia,1984,,,,15.8746380514393,,0.0,44.443
Bolivia,1985,,,,17.3146990771522,,0.0,45.451
Bolivia,1986,,,,17.8810553153752,,0.0,46.459
Bolivia,1987,,,,17.0894938836409,,0.0,47.472
Bolivia,1988,,,,16.6650053301214,,0.0,48.486
Bolivia,1989,,,,27.0854711585408,,0.0,49.504
Bolivia,1990,,,,17.1390470124597,,0.0,50.519
Bolivia,1991,,,,14.295284644253,,0.0,51.535
Bolivia,1992,,,,19.0410810620241,,0.0,52.549
Bolivia,1993,,,,12.8256195644743,,0.0,53.563
Bolivia,1994,,,,15.3989109006212,0.0,0.0,54.571
Bolivia,1995,,,,17.138494061679,,0.004071835,55.577
Bolivia,1996,,,,20.7115138346236,,0.020975279,56.579
Bolivia,1997,60.0279006958008,,,24.025560723537,,0.035244269,57.541
Bolivia,1998,61.3840293884277,,,28.6601674106482,,0.052718307,58.079
Bolivia,1999,64.1,,,36.3046144350101,0.0668,0.092189324,58.615
Bolivia,2000,64.0915298461914,,,45.4982377364528,0.196,0.418055648,59.15
Bolivia,2001,71.0,,,49.9360590122096,0.448,1.455376388,59.682
Bolivia,2002,67.330431,,,48.2018453881021,0.626,2.887342571,60.212
Bolivia,2003,71.2,,,52.7372304538668,0.982,4.980938617,60.739
Bolivia,2004,70.929888,,,58.2754233787146,1.44,6.780441344,61.264
Bolivia,2005,70.0,,,64.0518430826259,2.12,8.917328029,61.787
Bolivia,2006,69.3,,,64.4499926981327,3.12,11.49737045,62.306
Bolivia,2007,64.0,,,58.7218026947676,3.51,14.11936214,62.783
Bolivia,2008,72.3,,,53.5566000288069,4.44,19.53921968,63.248
Bolivia,2009,75.9,,,51.001676850074,5.23,25.82171069,63.711
Bolivia,2010,68.3,,,47.880519858362,6.2,30.13983939,64.17
Bolivia,2011,76.2,,4.34874670673036,42.6507012903778,10.5,33.51209002,64.628
Bolivia,2012,80.2,,4.9385920630252,39.7951588996808,12.5,50.99491498,65.082
Bolivia,2013,84.7,,5.54753604622661,35.1778876648113,16.8,64.31385416,65.535
Bolivia,2014,86.8,,15.2591997779778,34.3464279647996,22.4,70.22501607,65.984
Bolivia,2015,88.0,,15.820082770296,31.4948343659664,30.0,80.34893557,66.43
Bolivia,2016,88.3,28.03,17.9035881032346,34.0214297799199,35.3,89.81531826,66.874
Bolivia,2017,90.4,,20.0423336122245,36.029022193555,37.0,97.04333351,67.315
Bolivia,2018,89.5,,23.6244484998035,36.7535059221777,34.6,95.72549681,67.699
Bolivia,2019,90.0,41.8,25.1241230797607,38.9658038429773,37.5,91.63886556,68.047
Bolivia,2020,91.5,,28.4686922410653,40.9310950343345,39.7,89.7292164,68.393
Bolivia,2021,91.8,,31.7870427757271,43.7497193063732,43.8,95.86980372,68.738
Bolivia,2022,91.8,54.41,34.1409403767683,51.4488724603817,44.3,98.61224848,69.08
Bolivia,2023,92.8,,38.0622714069592,57.4086457572591,47.5,99.24869117,69.425
Brazil,1975,,,,,,,
Brazil,1976,,,,,,,
Brazil,1977,,,,,,,
Brazil,1978,,,,,,,
Brazil,1979,,,,,,0.0,
Brazil,1980,,,,,,0.0,60.789
Brazil,1981,,,,,,0.0,61.745
Brazil,1982,,,,52.595593886279,,0.0,62.689
Brazil,1983,,,,54.4687949767416,,0.0,63.625
Brazil,1984,,,,54.3927809648232,,0.0,64.551
Brazil,1985,,,,50.4251073504799,,0.0,65.468
Brazil,1986,,,,51.0129106328251,,0.0,66.37
Brazil,1987,,,,42.053738281602,,0.0,67.262
Brazil,1988,,,,44.69143381836,,0.0,68.142
Brazil,1989,,,,45.652572338876,,0.0,69.01
Brazil,1990,,,,50.4761408312323,,0.0,69.862
Brazil,1991,,,,50.3932300929265,,0.0,70.703
Brazil,1992,,,,44.245833386532,,0.0,71.529
Brazil,1993,,,,,,0.0,72.342
Brazil,1994,,,,,0.0,0.000442582,73.139
Brazil,1995,87.475116,,,105.39100764609,0.00329,0.004369477,73.922
Brazil,1996,90.6065444946289,,,127.747050136156,0.0129,0.020525874,74.69
Brazil,1997,88.803833,,,42.082789592995,0.0255,0.114869348,75.444
Brazil,1998,89.999927,,,45.1593163496425,0.0377,0.356570578,76.181
Brazil,1999,91.8837280273438,,,84.4659027013337,0.105,0.786185011,76.903
Brazil,2000,91.728598,,,134.113589135724,0.451,1.504575585,77.61
Brazil,2001,92.867095,,,69.523199422634,0.786,2.69954844,78.302
Brazil,2002,93.354139,,,43.4945248168898,1.48,4.307896658,79.048
Brazil,2003,94.193812,,,40.7784936784467,2.04,8.665064415,79.781
Brazil,2004,94.76296,,,40.8522371713945,2.87,13.18455708,80.496
Brazil,2005,94.4,,,29.5322605655103,4.53,16.13010807,81.192
Brazil,2006,96.0,,,29.8269102028347,9.15,19.32713015,81.553
Brazil,2007,96.7,,,31.1409857776162,13.2,25.39202175,81.88
Brazil,2008,97.0,,,29.0040380210043,19.1,35.51552318,82.203
Brazil,2009,96.8,,,29.6451419418143,21.0,46.15180215,82.521
Brazil,2010,97.1,,,27.6856699444345,28.2,52.91720162,82.834
Brazil,2011,97.6,,18.6990472470723,29.372770255415,30.9,63.4135915,83.143
Brazil,2012,98.1,,18.6061757765577,31.8397841564577,33.8,78.18528647,83.448
Brazil,2013,98.5,,18.4485753885318,35.4251666677718,39.2,87.07984742,83.749
Brazil,2014,98.9,,18.5172137485956,40.6909379403607,40.7,100.293596,84.044
Brazil,2015,98.6,,19.0968695273595,45.7822559936968,45.7,118.2517092,84.335
Brazil,2016,99.3,55.86,19.0993276078209,47.4942898437646,48.6,124.1756934,84.631
Brazil,2017,99.5,,18.5912843466076,52.7646576277272,51.0,134.3929329,84.923
Brazil,2018,99.6,,19.1135004934078,58.0784911048748,54.6,137.9776265,85.209
Brazil,2019,99.7,68.12,20.3338932920862,62.5192931966295,58.3,125.6477067,85.492
Brazil,2020,99.7,,20.4625464135459,64.2305738235588,60.9,117.9869738,85.77
Brazil,2021,99.7,,21.1708614032165,66.028510394056,67.5,106.1217992,86.042
Brazil,2022,99.8,70.04,20.7998110592124,66.829700644229,70.4,99.64002652,86.309
Brazil,2023,99.7,,20.285549584657,62.1940069702965,73.9,95.38505233,86.569
British Virgin Islands,1975,,,,,,,
British Virgin Islands,1976,,,,,,,
British Virgin Islands,1977,,,,,,,
British Virgin Islands,1978,,,,,,,
British Virgin Islands,1979,,,,,,0.0,
British Virgin Islands,1980,,,,,,0.0,19.47
British Virgin Islands,1981,,,,,,0.0,20.081
British Virgin Islands,1982,,,,,,0.0,20.703
British Virgin Islands,1983,,,,,,0.0,21.34
British Virgin Islands,1984,,,,,,0.0,21.992
British Virgin Islands,1985,,,,,,0.0,22.741
British Virgin Islands,1986,,,,,,0.0,24.039
British Virgin Islands,1987,,,,,,0.0,25.389
British Virgin Islands,1988,,,,,,0.0,26.788
British Virgin Islands,1989,,,,,,0.0,28.237
British Virgin Islands,1990,,,,,,,29.728
British Virgin Islands,1991,,,,,,,31.266
British Virgin Islands,1992,,,,,,,32.846
British Virgin Islands,1993,,,,,,,34.468
