country,year,gii_value
Paraguay,2007,0.499
Peru,2007,0.41
Suriname,2007,0.487
Uruguay,2007,0.337
Argentina,2008,0.373
Belize,2008,0.438
Brazil,2008,0.46
Chile,2008,0.37
Colombia,2008,0.485
Costa Rica,2008,0.331
Cuba,2008,0.326
Dominican Republic,2008,0.484
Ecuador,2008,0.452
El Salvador,2008,0.409
Guatemala,2008,0.538
Guyana,2008,
Haiti,2008,0.613
Honduras,2008,0.475
Mexico,2008,0.433
Nicaragua,2008,0.506
Panama,2008,0.442
Paraguay,2008,0.489
Peru,2008,0.406
Suriname,2008,0.48
Uruguay,2008,0.333
Argentina,2009,0.37
Belize,2009,0.423
Brazil,2009,0.456
Chile,2009,0.357
Colombia,2009,0.478
Costa Rica,2009,0.325
Cuba,2009,0.327
Dominican Republic,2009,0.49
Ecuador,2009,0.439
El Salvador,2009,0.401
Guatemala,2009,0.53
Guyana,2009,
Haiti,2009,0.615
Honduras,2009,0.478
Mexico,2009,0.415
Nicaragua,2009,0.488
Panama,2009,0.48
Paraguay,2009,0.484
Peru,2009,0.403
Suriname,2009,0.47
Uruguay,2009,0.324
Argentina,2010,0.37
Belize,2010,0.406
Brazil,2010,0.447
Chile,2010,0.35
Colombia,2010,0.454
Costa Rica,2010,0.315
Cuba,2010,0.33
Dominican Republic,2010,0.479
Ecuador,2010,0.431
El Salvador,2010,0.398
Guatemala,2010,0.526
Guyana,2010,
Haiti,2010,0.613
Honduras,2010,0.473
Mexico,2010,0.418
Nicaragua,2010,0.478
Panama,2010,0.482
Paraguay,2010,0.483
Peru,2010,0.396
Suriname,2010,0.516
Uruguay,2010,0.318
Argentina,2011,0.364
Belize,2011,0.409
Brazil,2011,0.446
Chile,2011,0.335
Colombia,2011,0.453
Costa Rica,2011,0.307
Cuba,2011,0.329
Dominican Republic,2011,0.477
Ecuador,2011,0.429
El Salvador,2011,0.398
Guatemala,2011,0.527
Guyana,2011,
Haiti,2011,0.626
Honduras,2011,0.472
Mexico,2011,0.414
Nicaragua,2011,0.434
Panama,2011,0.482
Paraguay,2011,0.479
Peru,2011,0.408
Suriname,2011,0.494
Uruguay,2011,0.325
Argentina,2012,0.353
Belize,2012,0.384
Brazil,2012,0.441
Chile,2012,0.327
Colombia,2012,0.452
Costa Rica,2012,0.301
Cuba,2012,0.321
Dominican Republic,2012,0.472
Ecuador,2012,0.424
El Salvador,2012,0.381
Guatemala,2012,0.536
Guyana,2012,
Haiti,2012,0.631
Honduras,2012,0.463
Mexico,2012,0.391
Nicaragua,2012,0.426
Panama,2012,0.479
Paraguay,2012,0.463
Peru,2012,0.405
Suriname,2012,0.489
Uruguay,2012,0.324
Argentina,2013,0.352
Belize,2013,0.401
Brazil,2013,0.445
Chile,2013,0.308
Colombia,2013,0.449
Costa Rica,2013,0.293
Cuba,2013,0.312
Dominican Republic,2013,0.47
Ecuador,2013,0.408
El Salvador,2013,0.38
Guatemala,2013,0.53
Guyana,2013,
Haiti,2013,0.629
Honduras,2013,0.454
Mexico,2013,0.39
Nicaragua,2013,0.425
Panama,2013,0.475
Paraguay,2013,0.443
Peru,2013,0.404
Suriname,2013,0.493
Uruguay,2013,0.326
Argentina,2014,0.347
Belize,2014,0.413
Brazil,2014,0.441
Chile,2014,0.291
Colombia,2014,0.422
Costa Rica,2014,0.303
Cuba,2014,0.31
Dominican Republic,2014,0.47
Ecuador,2014,0.396
El Salvador,2014,0.382
Guatemala,2014,0.526
Guyana,2014,
Haiti,2014,0.627
Honduras,2014,0.438
Mexico,2014,0.388
Nicaragua,2014,0.431
Panama,2014,0.424
Paraguay,2014,0.449
Peru,2014,0.393
Suriname,2014,0.489
Uruguay,2014,0.326
Argentina,2015,0.338
Belize,2015,0.429
Brazil,2015,0.436
Chile,2015,0.287
Colombia,2015,0.417
Costa Rica,2015,0.282
Cuba,2015,0.307
Dominican Republic,2015,0.466
Ecuador,2015,0.391
El Salvador,2015,0.378
Guatemala,2015,0.529
Guyana,2015,
Haiti,2015,0.625
Honduras,2015,0.432
Mexico,2015,0.379
Nicaragua,2015,0.431
Panama,2015,0.419
Paraguay,2015,0.452
Peru,2015,0.391
Suriname,2015,0.442
Uruguay,2015,0.29
Argentina,2016,0.333
Belize,2016,0.44
Brazil,2016,0.432
Chile,2016,0.267
Colombia,2016,0.414
Costa Rica,2016,0.278
Cuba,2016,0.307
Dominican Republic,2016,0.452
Ecuador,2016,0.386
El Salvador,2016,0.37
Guatemala,2016,0.508
Guyana,2016,
Haiti,2016,0.84
Honduras,2016,0.428
Mexico,2016,0.37
Nicaragua,2016,0.424
Panama,2016,0.416
Paraguay,2016,0.44
Peru,2016,0.37
Suriname,2016,0.425
Uruguay,2016,0.284
Argentina,2017,0.321
Belize,2017,0.464
Brazil,2017,0.422
Chile,2017,0.249
Colombia,2017,0.417
Costa Rica,2017,0.273
Cuba,2017,0.307
Dominican Republic,2017,0.449
Ecuador,2017,0.389
El Salvador,2017,0.37
Guatemala,2017,0.509
Guyana,2017,
Haiti,2017,0.628
Honduras,2017,0.427
Mexico,2017,0.372
Nicaragua,2017,0.424
Panama,2017,0.412
Paraguay,2017,0.441
Peru,2017,0.365
Suriname,2017,0.417
Uruguay,2017,0.26
Argentina,2018,0.301
Belize,2018,0.466
Brazil,2018,0.401
Chile,2018,0.215
Colombia,2018,0.41
Costa Rica,2018,0.249
Cuba,2018,0.303
Dominican Republic,2018,0.45
Ecuador,2018,0.391
El Salvador,2018,0.368
Guatemala,2018,0.509
Guyana,2018,0.444
Haiti,2018,0.629
Honduras,2018,0.435
Mexico,2018,0.365
Nicaragua,2018,0.423
Panama,2018,0.404
Paraguay,2018,0.44
Peru,2018,0.365
Suriname,2018,0.412
Uruguay,2018,0.254
Argentina,2019,0.283
Belize,2019,0.461
Brazil,2019,0.398
Chile,2019,0.195
Colombia,2019,0.411
Costa Rica,2019,0.234
Cuba,2019,0.304
Dominican Republic,2019,0.437
Ecuador,2019,0.388
El Salvador,2019,0.358
Guatemala,2019,0.5
Guyana,2019,0.439
Haiti,2019,0.625
Honduras,2019,0.445
Mexico,2019,0.366
Nicaragua,2019,0.421
Panama,2019,0.392
Paraguay,2019,0.436
Peru,2019,0.367
Suriname,2019,0.4
Uruguay,2019,0.256
Argentina,2020,0.285
Belize,2020,0.469
Brazil,2020,0.411
Chile,2020,0.182
Colombia,2020,0.421
Costa Rica,2020,0.231
Cuba,2020,0.303
Dominican Republic,2020,0.431
Ecuador,2020,0.373
El Salvador,2020,0.359
Guatemala,2020,0.48
Guyana,2020,0.434
Haiti,2020,0.623
Honduras,2020,0.436
Mexico,2020,0.368
Nicaragua,2020,0.418
Panama,2020,0.377
Paraguay,2020,0.435
Peru,2020,0.373
Suriname,2020,0.399
Uruguay,2020,0.235
Argentina,2021,0.272
Belize,2021,0.436
Brazil,2021,0.405
Chile,2021,0.119
Colombia,2021,0.42
Costa Rica,2021,0.216
Cuba,2021,0.298
Dominican Republic,2021,0.423
Ecuador,2021,0.366
El Salvador,2021,0.369
Guatemala,2021,0.467
Guyana,2021,0.432
Haiti,2021,0.621
Honduras,2021,0.417
Mexico,2021,0.365
Nicaragua,2021,0.412
Panama,2021,0.381
Paraguay,2021,0.432
Peru,2021,0.342
Suriname,2021,0.394
Uruguay,2021,0.221
Argentina,2022,0.262
Belize,2022,0.436
Brazil,2022,0.39
Chile,2022,0.114
Colombia,2022,0.395
Costa Rica,2022,0.209
Cuba,2022,0.297
Dominican Republic,2022,0.422
Ecuador,2022,0.364
El Salvador,2022,0.366
Guatemala,2022,0.48
Guyana,2022,0.431
Haiti,2022,0.619
Honduras,2022,0.427
Mexico,2022,0.361
Nicaragua,2022,0.408
Panama,2022,0.38
Paraguay,2022,0.431
Peru,2022,0.341
Suriname,2022,0.392
Uruguay,2022,0.218
Argentina,2023,0.264
Belize,2023,0.428
Brazil,2023,0.39
Chile,2023,0.102
Colombia,2023,0.393
Costa Rica,2023,0.217
Cuba,2023,0.296
Dominican Republic,2023,0.417
Ecuador,2023,0.358
El Salvador,2023,0.362
Guatemala,2023,0.48
Guyana,2023,0.427
Haiti,2023,0.618
Honduras,2023,0.437
Mexico,2023,0.358
Nicaragua,2023,0.408
Panama,2023,0.374
Paraguay,2023,0.412
Peru,2023,0.34
Suriname,2023,0.391
Uruguay,2023,0.218
